urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,2050,0,0,0,0,korg,korg kronos 2 ,Madrid,2022/07/25,2022/09/28,2022/09/01,801,526
0,0,0,1,59,0,0,0,0,yamaha,yamaha vrc 101 keyboard plucked & tuned percussion group ,Girona,2021/06/28,2022/09/26,2022/09/01,286,637
0,0,0,1,0,0,0,0,0,-,"varios módulos make noise, mutable, cwejman en estado impecable ",Barcelona,2022/07/07,2022/09/05,2022/09/01,692,1055
0,0,1,0,0,0,0,0,0,roland,roland s-220 sampler ,Tarragona,2022/07/05,2022/09/28,2022/09/01,467,1816
0,0,0,1,499,0,0,0,0,-,modal argon8 ,Bizkaia,2021/03/29,2022/10/01,2022/09/01,4238,533
0,0,0,1,249,0,0,0,0,zoom,zoom arq anillo sintetizador nuevo ,Girona,2022/06/10,2022/09/04,2022/09/01,487,637
0,0,0,1,680,0,0,0,0,-,soma lyra 8 ,Asturias,2022/07/11,2022/09/09,2022/09/01,584,519
0,0,0,1,50,0,0,0,0,doepfer,doepfer a 106 5 sem filter ,Pontevedra,2022/08/28,2022/10/27,2022/09/01,90,964
0,0,0,1,2800,0,0,0,0,-,prophet sequential x ,Madrid,2022/08/11,2022/10/08,2022/09/01,236,476
0,0,0,1,350,0,0,0,0,-,microkorg s ,Córdoba,2022/08/18,2022/10/17,2022/09/01,256,1077
0,0,0,1,580,0,0,0,0,-,tarjeta exb-moss ,Madrid,2022/08/18,2022/10/19,2022/09/01,198,612
0,0,0,1,45,0,0,0,0,korg,korg ds-1h pedal sustain made in japan ,Barcelona,2022/08/30,2022/10/29,2022/09/01,70,1079
0,0,0,1,65,0,0,0,0,behringer,behringer 305 output module ,Pontevedra,2022/08/27,2022/09/30,2022/09/01,110,964
0,0,0,1,130,0,0,0,0,instruments,mutable instruments braids clone ,La Rioja,2022/07/04,2022/10/01,2022/09/01,282,697
0,0,0,1,930,0,0,0,0,nord lead ,3 ,Barcelona,2022/02/12,2022/09/20,2022/09/01,492,489
0,0,0,1,160,0,0,0,0,moog,moog werkstatt 01 + cv expander ,Barcelona,2022/06/20,2022/09/29,2022/09/01,513,1065
0,0,0,1,1350,0,0,0,0,kawai,sintetizador kawai sx-210 ,Huelva,2022/02/14,2022/09/20,2022/09/01,1404,703
0,0,0,1,430,0,0,0,0,moog,moog mother 32 ,Sevilla,2022/08/11,2022/09/28,2022/09/01,354,512
0,0,0,1,80,0,0,0,0,expert,expert sleepers disting mk1 ,Pontevedra,2022/08/31,2022/10/30,2022/09/01,48,964
0,0,0,1,1070,0,0,0,0,-,asm hydrasynth ,Valencia,2021/09/03,2022/09/19,2022/09/01,3246,435
0,0,0,1,930,0,0,0,0,novation,novation peak ,Valencia,2022/08/18,2022/09/28,2022/09/01,242,498
