urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen
0,0,0,1,125,0,0,0,0,-,maleta sintetizador 61 aluminio ,jose,Murcia,2022/05/28,2022/09/25,2022/08/30,399
0,0,0,1,70,0,0,0,0,-,flightcase yamaha p 80 ,liradigital MRF,Madrid,2022/04/11,2022/09/21,2022/08/30,483
0,0,0,1,119,0,0,0,0,-,yamaha rev 500 ,moog1406,Girona,2021/12/23,2022/09/23,2022/08/30,832
0,0,1,0,0,0,0,0,0,-,soporte quiklok en perfecto estado ,elprofesordedanza,Tarragona,2022/07/21,2022/09/28,2022/08/30,418
0,0,0,1,395,0,0,0,0,-,modulo eurorack synthesis technology e560 deflector shield ,tyrel,Madrid,2020/09/12,2022/10/27,2022/08/30,565
0,0,0,1,100,0,0,0,0,-,toms 000 eurorack ,liradigital MRF,Madrid,2022/07/22,2022/09/21,2022/08/30,324
0,0,0,1,310,0,0,0,0,-,fairfield circuitry meet maude analog delay ,Morphido,Madrid,2022/06/19,2022/09/29,2022/08/30,436
0,0,0,1,379,0,0,0,0,-,roland mc 101 ,moog1406,Girona,2021/06/09,2022/09/23,2022/08/30,406
0,0,0,1,495,0,0,0,0,-,roland xv 5080 actualizado ,7ºDisminuido,Málaga,2022/02/05,2022/10/04,2022/08/30,1677
0,0,0,1,600,0,0,0,0,-,clavia nord lead 1 rack - 12 voces ,Victor Lucas,Málaga,2022/07/24,2022/09/22,2022/08/30,723
0,0,0,1,750,0,0,0,0,-,sintetizador moog subsequent 25 impoluto ,Cristóbal Patrick Ruiz,Valencia,2022/08/09,2022/10/05,2022/08/30,362
0,0,0,1,300,0,0,0,0,-,sintetizador casio cz-1000 ,valenadell,Barcelona,2022/08/24,2022/10/23,2022/08/30,226
0,1,0,0,0,0,0,0,0,-,yamaha psr-5700 ,Shad0wfax,Barcelona,2022/08/29,2022/10/28,2022/08/30,60
0,0,0,1,1175,0,0,0,0,-,sintetizador roland spv-355 ,finess7,Huelva,2022/08/23,2022/10/19,2022/08/30,224
0,0,0,1,430,0,0,0,0,-,multi-efectos the dust collector de finegear ,Ivan,Madrid,2022/05/21,2022/10/17,2022/08/30,602
1,0,0,1,260,0,0,0,0,-,o cambió rd 8 mki berhinger ,arkostek,Alicante,2022/07/11,2022/09/09,2022/08/30,422
0,0,0,1,210,0,0,0,0,-,akai eb-16 eb16 fx card 2000 3000 y xl ,Synthaddict,Madrid,2022/05/29,2022/09/26,2022/08/30,265
0,0,0,1,385,0,0,0,0,-,roland mv30 ,Rodolfo,Barcelona,2022/05/31,2022/09/13,2022/08/30,540
0,0,0,1,350,0,0,0,0,-,roland rd300sx ,Markkius,Madrid,2022/08/09,2022/09/23,2022/08/30,382
0,0,0,1,80,0,0,0,0,-,native instruments maschine mark 1 controlador usb midi sin licencia ,IG,Valencia,2021/04/11,2022/09/26,2022/08/30,1091
0,1,0,0,0,0,0,0,0,-,varios módulos eurorack ,FZappy,Barcelona,2022/06/12,2022/09/25,2022/08/30,732
0,0,0,1,550,0,0,0,0,-,yamaha sy77 ,moog1406,Girona,2022/03/16,2022/10/04,2022/08/30,752
0,0,1,0,0,0,0,0,0,-,tripode pro por sintetizador ,CreativeStudio,Madrid,2022/08/01,2022/09/14,2022/08/30,316
0,0,0,1,40,0,0,0,0,-,módulo eurorack behringer 911 envelope generator ,javi_randoom,Madrid,2022/08/09,2022/09/22,2022/08/30,128
0,0,0,1,999,0,0,0,0,-,synthesis technology e370 quad morphing vco black ,moog1406,Girona,2022/05/04,2022/09/16,2022/08/30,421
0,0,0,1,339,0,0,0,0,-,make noise phonogene ,moog1406,Girona,2021/07/28,2022/10/08,2022/08/30,983
0,0,0,1,370,0,0,0,0,-,eurorack tip top audio ,Ramonet,Madrid,2022/08/26,2022/10/25,2022/08/30,118
0,0,1,0,0,0,0,0,0,-,roland eg-101 groovekeyboard o 240€ ,TonoTNVX,Madrid,2022/04/22,2022/09/25,2022/08/30,843
0,0,0,1,1829,0,0,0,0,-,arp 2600m nuevo tambien cambios ,moog1406,Girona,2022/04/20,2022/09/09,2022/08/30,745
0,0,0,1,500,0,0,0,0,-,behringer deepmind 12 ,JaviP,Madrid,2022/08/16,2022/10/18,2022/08/30,254
0,0,0,1,75,0,0,0,0,-,zip iomega 100 scsi ,cvsequencer,Barcelona,2022/08/02,2022/09/28,2022/08/30,284
