urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,300,0,0,0,0,yamaha,módulo yamaha tg100 16 pistas ,arteideas,Huelva,2022/09/06,2022/11/05,2022/11/01,267,946
0,0,0,1,95,0,0,0,0,volca,volca drum env incl ,PETZOO,Cádiz,2022/10/26,2022/12/01,2022/11/01,134,481
0,0,0,1,70,0,0,0,0,keith,keith mcmillen qunexus ,Powlow,Barcelona,2022/09/16,2022/11/19,2022/11/01,383,648
0,0,0,1,300,0,0,0,0,korg,teclados korg m1 pila nueva ,Miguel Solana,Murcia,2020/11/04,2022/11/09,2022/11/01,2270,1249
0,0,0,1,49,0,0,0,0,swissonic,swissonic easykey 25 ,moog1406,Girona,2022/06/02,2022/12/05,2022/11/01,359,637
0,0,0,1,1100,0,0,0,0,system,roland system 8 ,funkytime,Barcelona,2022/10/11,2022/11/30,2022/11/01,249,988
0,0,0,1,150,0,0,0,0,m-audio,teclado midi m-audio axiom pro 49 ,esferarocks,Bizkaia,2017/09/10,2022/11/03,2022/11/01,911,1176
0,0,0,1,280,0,0,0,0,arturia,arturia drumbrute ,samu_cz,Madrid,2022/03/04,2022/11/12,2022/11/01,630,754
0,1,0,0,0,0,0,0,0,-,minilogue xd ,Javier,Alicante,2022/10/25,2022/12/22,2022/11/01,104,609
0,0,0,1,400,0,0,0,0,korg,sintetizador va korg ms2000r ,Pablo,Madrid,2022/10/11,2022/11/29,2022/11/01,467,494
0,0,0,1,230,0,0,0,0,eurorack,eurorack bubble sound dualsem20 ,siropene,Madrid,2022/08/22,2022/11/25,2022/11/01,305,869
0,0,0,1,219,0,0,0,0,doepfer,doepfer a-100lc3v low cost case vintage edition ,Storm,Bizkaia,2022/05/25,2022/11/26,2022/11/01,874,533
0,0,0,1,990,0,0,0,0,octatrack,elektron octatrack mki + 2 tarjetas 64gb y 16gb ,Javier m,Córdoba,2022/10/11,2022/11/16,2022/11/01,148,750
