urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,1,0,0,0,0,0,0,studio,controlador fatar studio 900 ,dmaio2002us,Murcia,2023/03/17,2023/07/04,2023/06/04,381,950
0,0,0,1,0,0,0,0,0,kenton,kenton merge 4 y kenton thru 5 ,minahonda,Madrid,2023/02/23,2023/07/03,2023/06/04,735,943
0,0,0,1,0,0,0,0,0,yamaha,sonidos para yamaha sy-85 ,Antonio,Valencia,2023/04/22,2023/07/03,2023/06/04,157,728
0,0,0,1,0,0,0,0,0,midi,midi controller playtron ,yan demir,Madrid,2023/05/02,2023/07/01,2023/06/04,278,889
0,0,0,1,0,0,0,0,0,korg,korg ms2000r ,Dmode,Barcelona,2023/04/16,2023/07/01,2023/06/04,391,489
0,0,0,1,0,0,0,0,0,-,ableton push 2 ,gheibiK,Baleares,2023/05/30,2023/07/29,2023/06/04,94,691
0,0,0,1,0,0,0,0,0,eurorack,modulos eurorack rebajados ,tomiwilli,Madrid,2022/10/03,2023/07/01,2023/06/04,3679,986
0,0,0,1,0,0,0,0,0,-,proteus 2000 tarjeta protozoa vendida ,ninjavier,Barcelona,2023/04/22,2023/06/21,2023/06/04,372,966
0,0,0,1,0,0,0,0,0,erica synths ,graphic vco ,o_ak,Albacete,2022/11/14,2023/07/30,2023/06/04,396,410
0,0,0,1,0,0,0,0,0,roland,roland vt-4 ,soma,Madrid,2023/02/24,2023/07/04,2023/06/04,548,432
0,0,0,1,0,0,0,0,0,-,k-2 berhinger ,Micbern,Madrid,2023/06/03,2023/08/02,2023/06/04,262,704
0,0,0,1,0,0,0,0,0,roland,roland jd-08 ,pulshion,Asturias,2023/05/28,2023/07/26,2023/06/04,188,882
0,0,0,1,0,0,0,0,0,-,varios sinth effectos drum mixer ,alkalabp,Valencia,2022/11/15,2023/07/03,2023/06/04,3142,824
0,0,0,1,0,0,0,0,0,yamaha,yamaha qy700 secuenciador ,bangbang,Barcelona,2022/10/28,2023/06/28,2023/06/04,641,816
0,0,0,1,0,0,0,0,0,kawai,kawai rc-2 tarjeta memoria ,IK3R,Barcelona,2022/03/17,2023/06/30,2023/06/04,701,281
0,0,0,1,0,0,0,0,0,midi,arturia keylab mkii 61 teclado controlador midi ,serieb,Lugo,2023/01/04,2023/07/02,2023/06/04,828,634
0,0,0,1,0,0,0,0,0,-,"sequential prophet 10 module,prophet x,prophet rev2 module, pro 3 se, pro 3, minifreak, rytm mkii ",Storm,Bizkaia,2021/02/17,2023/06/21,2023/06/04,13286,533
0,0,0,1,0,0,0,0,0,elektron,elektron four mk1 ,frodobolson007,Madrid,2023/05/30,2023/07/29,2023/06/04,140,1342
0,0,0,1,0,0,0,0,0,maschine,maschine mk i ,drumax,Valencia,2020/04/26,2023/06/26,2023/06/04,3341,657
0,0,1,0,0,0,0,0,0,nord wave ,o 2 ,JOSHY,Madrid,2023/06/04,2023/08/03,2023/06/04,64,397
0,0,1,0,0,0,0,0,0,waldorf,waldorf blofeld keyboard ,Pablo M. - Sullibass,Zaragoza,2023/05/14,2023/07/04,2023/06/04,422,1704
0,0,0,1,0,0,0,0,0,-,"equipos de estudio, sintes, caja de ritmo y secuenciador ",Evan,Araba,2023/06/01,2023/07/31,2023/06/04,1151,394
0,0,0,1,0,0,0,0,0,nord wave ,- versión 1 - impecable estado ,nisakku,Barcelona,2023/05/21,2023/07/01,2023/06/04,300,758
0,0,0,1,0,0,0,0,0,eurorack,intellijel planar 2 eurorack ,Morphido,Madrid,2023/05/21,2023/07/04,2023/06/04,202,834
0,0,0,1,0,0,0,0,0,dreadbox,dreadbox typhon - envío incuido ,ElmoreFreak,Las Palmas,2023/03/01,2023/06/27,2023/06/04,483,1101
0,0,0,1,0,0,0,0,0,arturia,arturia keystep pro ,Raul Q. de Orte,Barcelona,2023/04/13,2023/07/02,2023/06/04,483,1238
0,0,0,1,0,0,0,0,0,-,u d o super 6 ,MINILOGO,Sevilla,2023/05/14,2023/06/29,2023/06/04,389,606
0,0,0,1,0,0,0,0,0,kurzweil,kurzweil pc2 rack ,tripiano,Bizkaia,2023/06/01,2023/07/31,2023/06/04,129,870
1,0,1,0,0,0,0,0,0,roland,expansión roland sr-jv80 02 orquestal ,Soundprogramer,Málaga,2023/05/30,2023/07/03,2023/06/04,118,1496
0,0,0,1,0,0,0,0,0,yamaha,yamaha rm1x groovebox ,Juan Cortabarría Morate,Gipuzkoa,2023/06/01,2023/07/31,2023/06/04,85,2340
0,0,0,1,0,0,0,0,0,mfb,mfb kraftzwerg ,Mystic_forest,Madrid,2023/05/29,2023/07/28,2023/06/04,130,1387
0,0,0,1,0,0,0,0,0,presonus,presonus atom sq ,Pai,Madrid,2023/05/28,2023/06/30,2023/06/04,192,282
0,0,0,1,0,0,0,0,0,-,sequential prophet x ,Storm,Bizkaia,2020/12/18,2023/07/01,2023/06/04,4699,533
0,0,0,1,0,0,0,0,0,-,amplificador 122 type classictone ,windbass,Zaragoza,2020/11/03,2023/07/02,2023/06/04,2007,859
0,0,0,1,0,0,0,0,0,roland,roland gw-7 mint condition ,The Joshua Synth,Madrid,2023/05/28,2023/07/27,2023/06/04,183,1505
0,0,0,1,0,0,0,0,0,udo,"udo super 6, nuevecito! ",logan3,Madrid,2023/01/31,2023/07/04,2023/06/04,1034,580
0,0,0,1,0,0,0,0,0,cyclone analogic ,tt-303 bass bot v2 ,Joan,Barcelona,2023/02/08,2023/06/30,2023/06/04,710,392
0,0,0,1,0,0,0,0,0,modular,2 buses y fuente para modular la caja sale gratis ,gatovertical,Barcelona,2019/02/09,2023/06/27,2023/06/04,5459,1285
0,0,0,1,0,0,0,0,0,roland,roland super jv 1080 con 3 tarjetas de expansion ,Angel,Madrid,2022/11/14,2023/06/30,2023/06/04,1510,487
0,0,0,1,0,0,0,0,0,kawai,kawai k1 ,Lolo López,Tarragona,2023/06/01,2023/07/31,2023/06/04,182,1092
